mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Prefabricated Wood Buildings,321992,Manufacturing,Industrials,321992 - Prefabricated Wood Building Manufacturing,Other Industrials,Prefabricated Wood Building Manufacturing
"Wood Products, Nec",321999,Manufacturing,Industrials,321999 - All Other Miscellaneous Wood Product Manufacturing,Other Industrials,All Other Miscellaneous Wood Product Manufacturing
Pulp Mills,322110,Manufacturing,Industrials,322110 - Pulp Mills,Manufacturing,Pulp Mills
Paper Mills,322121,Manufacturing,Industrials,322121 - Paper (except Newsprint) Mills,Manufacturing,Paper (except Newsprint) Mills
Paper Mills,322122,Manufacturing,Industrials,322122 - Newsprint Mills,Manufacturing,Newsprint Mills
Paperboard Mills,322130,Manufacturing,Industrials,322130 - Paperboard Mills,Manufacturing,Paperboard Mills
Corrugated And Solid Fiber Boxes,322211,Manufacturing,Industrials,322211 - Corrugated and Solid Fiber Box Manufacturing,Manufacturing,Corrugated and Solid Fiber Box Manufacturing
Folding Paperboard Boxes,322212,Manufacturing,Industrials,322212 - Folding Paperboard Box Manufacturing,Manufacturing,Folding Paperboard Box Manufacturing
Setup Paperboard Boxes,322219,Manufacturing,Industrials,322219 - Other Paperboard Container Manufacturing,Manufacturing,Other Paperboard Container Manufacturing
Paper; Coated And Laminated Packaging,322220,Manufacturing,Industrials,322220 - Paper Bag and Coated and Treated Paper Manufacturing,Manufacturing,Paper Bag and Coated and Treated Paper Manufacturing
Envelopes,322230,Manufacturing,Industrials,322230 - Stationery Product Manufacturing,Manufacturing,Stationery Product Manufacturing
Sanitary Paper Products,322291,Manufacturing,Industrials,322291 - Sanitary Paper Product Manufacturing,Manufacturing,Sanitary Paper Product Manufacturing
Die-Cut Paper And Board,322299,Manufacturing,Industrials,322299 - All Other Converted Paper Product Manufacturing,Manufacturing,All Other Converted Paper Product Manufacturing
"Commercial Printing, Lithographic",323111,Media & Entertainment,TMT,323111 - Commercial Printing (except Screen and Books),Media,Commercial Printing (except Screen and Books)
Automotive And Apparel Trimmings,323113,Media & Entertainment,TMT,323113 - Commercial Screen Printing,Media,Commercial Screen Printing
Book Printing,323117,Media & Entertainment,TMT,323117 - Books Printing,Media,Books Printing
Bookbinding And Related Work,323120,Media & Entertainment,TMT,323120 - Support Activities for Printing,Media,Support Activities for Printing
Petroleum Refining,324110,Energy,Industrials,324110 - Petroleum Refineries,Downstream,Petroleum Refineries
Asphalt Paving Mixtures And Blocks,324121,Manufacturing,Industrials,324121 - Asphalt Paving Mixture and Block Manufacturing,Manufacturing,Asphalt Paving Mixture and Block Manufacturing
Asphalt Felts And Coatings,324122,Manufacturing,Industrials,324122 - Asphalt Shingle and Coating Materials Manufacturing,Manufacturing,Asphalt Shingle and Coating Materials Manufacturing
Lubricating Oils And Greases,324191,Manufacturing,Industrials,324191 - Petroleum Lubricating Oil and Grease Manufacturing,Other Industrials,Petroleum Lubricating Oil and Grease Manufacturing
"Petroleum And Coal Products, Nec",324199,Manufacturing,Industrials,324199 - All Other Petroleum and Coal Products Manufacturing,Other Industrials,All Other Petroleum and Coal Products Manufacturing
Cyclic Crudes And Intermediates,325110,Energy,Industrials,325110 - Petrochemical Manufacturing,Chemicals / Petrochemicals,Petrochemical Manufacturing
Industrial Gases,325120,Energy,Industrials,325120 - Industrial Gas Manufacturing,Chemicals / Petrochemicals,Industrial Gas Manufacturing
Inorganic Pigments,325130,Energy,Industrials,325130 - Synthetic Dye and Pigment Manufacturing,Chemicals / Petrochemicals,Synthetic Dye and Pigment Manufacturing
Alkalies And Chlorine,325180,Energy,Industrials,325180 - Other Basic Inorganic Chemical Manufacturing,Chemicals / Petrochemicals,Other Basic Inorganic Chemical Manufacturing
"Industrial Organic Chemicals, Nec",325193,Energy,Industrials,325193 - Ethyl Alcohol Manufacturing,Renewables and Alternative Energy,Ethyl Alcohol Manufacturing
Gum And Wood Chemicals,325194,Energy,Industrials,"325194 - Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",Chemicals / Petrochemicals,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
"Industrial Organic Chemicals, Nec",325199,Energy,Industrials,325199 - All Other Basic Organic Chemical Manufacturing,Chemicals / Petrochemicals,All Other Basic Organic Chemical Manufacturing
Plastics Materials And Resins,325211,Energy,Industrials,325211 - Plastics Material and Resin Manufacturing,Chemicals / Petrochemicals,Plastics Material and Resin Manufacturing
Synthetic Rubber,325212,Energy,Industrials,325212 - Synthetic Rubber Manufacturing,Chemicals / Petrochemicals,Synthetic Rubber Manufacturing
Cellulosic Manmade Fibers,325220,Energy,Industrials,325220 - Artificial and Synthetic Fibers and Filaments Manufacturing,Chemicals / Petrochemicals,Artificial and Synthetic Fibers and Filaments Manufacturing
Nitrogenous Fertilizers,325311,Energy,Industrials,325311 - Nitrogenous Fertilizer Manufacturing,Chemicals / Petrochemicals,Nitrogenous Fertilizer Manufacturing
Phosphatic Fertilizers,325312,Energy,Industrials,325312 - Phosphatic Fertilizer Manufacturing,Chemicals / Petrochemicals,Phosphatic Fertilizer Manufacturing
"Fertilizers, Mixing Only",325314,Energy,Industrials,325314 - Fertilizer (Mixing Only) Manufacturing,Chemicals / Petrochemicals,Fertilizer (Mixing Only) Manufacturing
"Agricultural Chemicals, Nec",325320,Energy,Industrials,325320 - Pesticide and Other Agricultural Chemical Manufacturing,Chemicals / Petrochemicals,Pesticide and Other Agricultural Chemical Manufacturing
Medicinals And Botanicals,325411,Life Sciences,Life Sciences,325411 - Medicinal and Botanical Manufacturing,Bio/Pharma,Medicinal and Botanical Manufacturing
Pharmaceutical Preparations,325412,Bio/Pharma,Life Sciences,325412 - Pharmaceutical Preparation Manufacturing,Bio/Pharma,Pharmaceutical Preparation Manufacturing
Diagnostic Substances,325413,Bio/Pharma,Life Sciences,325413 - In-Vitro Diagnostic Substance Manufacturing,Bio/Pharma,In-Vitro Diagnostic Substance Manufacturing
"Biological Products, Except Diagnostic",325414,Bio/Pharma,Life Sciences,325414 - Biological Product (except Diagnostic) Manufacturing,Bio/Pharma,Biological Product (except Diagnostic) Manufacturing
Paints And Allied Products,325510,Energy,Industrials,325510 - Paint and Coating Manufacturing,Chemicals / Petrochemicals,Paint and Coating Manufacturing
Adhesives And Sealants,325520,Energy,Industrials,325520 - Adhesive Manufacturing,Chemicals / Petrochemicals,Adhesive Manufacturing
Soap And Other Detergents,325611,Consumer Goods,Consumer Products,325611 - Soap and Other Detergent Manufacturing,Beauty,Soap and Other Detergent Manufacturing
Polishes And Sanitation Goods,325612,Energy,Industrials,325612 - Polish and Other Sanitation Good Manufacturing,Chemicals / Petrochemicals,Polish and Other Sanitation Good Manufacturing
Surface Active Agents,325613,Energy,Industrials,325613 - Surface Active Agent Manufacturing,Chemicals / Petrochemicals,Surface Active Agent Manufacturing
Toilet Preparations,325620,Consumer Goods,Consumer Products,325620 - Toilet Preparation Manufacturing,Beauty,Toilet Preparation Manufacturing
Printing Ink,325910,Energy,Industrials,325910 - Printing Ink Manufacturing,Chemicals / Petrochemicals,Printing Ink Manufacturing
Explosives,325920,Energy,Industrials,325920 - Explosives Manufacturing,Chemicals / Petrochemicals,Explosives Manufacturing
Custom Compound Purchased Resins,325991,Manufacturing,Industrials,325991 - Custom Compounding of Purchased Resins,Manufacturing,Custom Compounding of Purchased Resins
Photographic Equipment And Supplies,325992,Manufacturing,Industrials,"325992 - Photographic Film, Paper, Plate, and Chemical Manufacturing",Manufacturing,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
"Chemical Preparations, Nec",325998,Energy,Industrials,325998 - All Other Miscellaneous Chemical Product and Preparation Manufacturing,Chemicals / Petrochemicals,All Other Miscellaneous Chemical Product and Preparation Manufacturing
"Bags: Plastic, Laminated, And Coated",326111,Manufacturing,Industrials,326111 - Plastics Bag and Pouch Manufacturing,Manufacturing,Plastics Bag and Pouch Manufacturing
Paper; Coated And Laminated Packaging,326112,Manufacturing,Industrials,326112 - Plastics Packaging Film and Sheet (including Laminated) Manufacturing,Manufacturing,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
Unsupported Plastics Film And Sheet,326113,Manufacturing,Industrials,326113 - Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Manufacturing,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
Unsupported Plastics Profile Shapes,326121,Manufacturing,Industrials,326121 - Unlaminated Plastics Profile Shape Manufacturing,Manufacturing,Unlaminated Plastics Profile Shape Manufacturing
Plastics Pipe,326122,Manufacturing,Industrials,326122 - Plastics Pipe and Pipe Fitting Manufacturing,Manufacturing,Plastics Pipe and Pipe Fitting Manufacturing
Laminated Plastics Plate And Sheet,326130,Manufacturing,Industrials,"326130 - Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Manufacturing,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
Plastics Foam Products,326140,Manufacturing,Industrials,326140 - Polystyrene Foam Product Manufacturing,Manufacturing,Polystyrene Foam Product Manufacturing
Plastics Foam Products,326150,Manufacturing,Industrials,326150 - Urethane and Other Foam Product (except Polystyrene) Manufacturing,Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing
Plastics Bottles,326160,Manufacturing,Industrials,326160 - Plastics Bottle Manufacturing,Manufacturing,Plastics Bottle Manufacturing
Plastics Plumbing Fixtures,326191,Manufacturing,Industrials,326191 - Plastics Plumbing Fixture Manufacturing,Manufacturing,Plastics Plumbing Fixture Manufacturing
"Plastics Products, Nec",326199,Manufacturing,Industrials,326199 - All Other Plastics Product Manufacturing,Manufacturing,All Other Plastics Product Manufacturing
